Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Mbps (Media de bajada),Accesos por cada 100 hogares,Accesos por cada 100 hab
2021,1,Formosa,20663,11412,2562,15669,380,50686,20.98032750697521,32.732955756327215,8.330895284429907
2021,1,Jujuy,32254,54324,17322,2677,3879,110456,26.777362312404005,55.63244789620541,14.226045966500736
2021,1,La Pampa,8946,58711,15779,12369,1300,97105,10.728511929531797,81.77676345752207,26.943299898725044
2021,1,La Rioja,17363,34984,1,250,30,52628,12.697554732181876,49.80693519079345,13.258360163449572
2021,1,Mendoza,91844,69295,38619,18332,833,218923,12.599361245254226,39.153661528996416,10.926002451479471
2021,1,Misiones,48292,82339,7064,4796,6896,149387,25.076826126081443,43.172438905971845,11.758811611223322
2021,1,Neuquén,30223,70457,14171,17752,632,133235,34.23850264753642,66.84208942045272,19.895917331182982
2021,1,Río Negro,48777,42192,17828,13994,18377,141168,21.92390676083096,60.87924030325769,18.724905657874665
2021,1,Salta,54768,89187,31498,5669,6452,187574,27.31884069404982,53.93001926339093,13.061128426236175
2021,1,San Juan,40072,11589,6671,11482,8453,78267,6.910089995382067,39.055194335357605,9.948368694803314
2021,1,San Luis,8417,10678,28,63826,36205,119154,21.594379804710776,81.23730177127507,23.24883515831701
2021,1,Santa Cruz,12347,23089,5975,4264,390,46065,7.501531847531764,41.64783103990742,12.391825403443834
2021,1,Santa Fe,277012,421480,70976,39140,17519,826127,28.130630073152936,73.91656407026184,23.242382186130484
2021,1,Santiago Del Estero,26468,75849,570,5158,3596,111641,11.584174516498134,45.67308282365455,11.334871169032644
2021,1,Tierra Del Fuego,12853,27247,6,0,316,40422,8.734752396277898,77.34935609177366,22.9312154304354
2021,1,Tucumán,147199,12185,69954,1834,740,231912,37.97961958190828,54.81892254125389,13.57896382467824
2020,4,Buenos Aires,635651,2441248,804991,93444,57927,4033261,50.00838083963576,68.97702220170737,22.90151153254686
2020,4,Capital Federal,163060,1142528,39890,4815,29237,1379530,67.32513676879374,108.31107489043508,44.8339684267828
2020,4,Catamarca,26870,5115,17856,322,2233,52396,37.6500877273544,49.40688354549741,12.567459308545084
2020,4,Chaco,44332,61200,23687,7997,1875,139091,32.45204676418101,43.03078864977911,11.50064617804086
2020,4,Chubut,45703,39756,3040,23363,18712,130574,7.383087626414736,68.35189915825622,20.95087117462161
